speed_threshold,kv_cache_threshold,input_length,output_length
8,38,4096,128
34,34,32,1024
30,30,4096,1024
30,38,32,16
4,38,1024,16
30,38,1024,128
38,38,32,128
1,38,4096,16
34,34,1024,1024
