speed_threshold,kv_cache_threshold,input_length,output_length
2,18,4096,128
26,26,32,1024
8,14,4096,1024
18,38,32,16
1,38,1024,16
10,38,1024,128
30,38,32,128
0,18,4096,16
18,26,1024,1024
