speed_threshold,kv_cache_threshold,input_length,output_length
8,38,4096,128
38,38,32,1024
38,38,4096,1024
38,38,32,16
14,38,1024,16
30,38,1024,128
38,38,32,128
3,38,4096,16
30,34,1024,1024
