speed_threshold,kv_cache_threshold,input_length,output_length
6,34,4096,128
38,38,32,1024
6,26,4096,1024
38,38,32,16
3,38,1024,16
22,38,1024,128
38,38,32,128
0,34,4096,16
26,34,1024,1024
