speed_threshold,kv_cache_threshold,input_length,output_length
1,38,4096,128
22,22,32,1024
6,10,4096,1024
8,38,32,16
0,38,1024,16
4,38,1024,128
30,38,32,128
0,38,4096,16
14,22,1024,1024
