speed_threshold,kv_cache_threshold,input_length,output_length
4,38,4096,128
38,38,32,1024
10,30,4096,1024
26,38,32,16
2,38,1024,16
14,38,1024,128
38,38,32,128
0,38,4096,16
30,34,1024,1024
