speed_threshold,kv_cache_threshold,input_length,output_length
2,38,4096,128
30,22,32,1024
6,4,4096,1024
26,38,32,16
1,22,1024,16
10,22,1024,128
30,38,32,128
0,38,4096,16
14,10,1024,1024
