speed_threshold,kv_cache_threshold,input_length,output_length
6,22,4096,128
38,38,32,1024
18,18,4096,1024
38,38,32,16
4,38,1024,16
26,38,1024,128
38,38,32,128
1,22,4096,16
38,38,1024,1024
