speed_threshold,kv_cache_threshold,input_length,output_length
1,18,4096,128
18,18,32,1024
10,14,4096,1024
14,38,32,16
1,38,1024,16
6,38,1024,128
38,38,32,128
0,18,4096,16
18,18,1024,1024
