speed_threshold,kv_cache_threshold,input_length,output_length
3,38,4096,128
38,38,32,1024
10,26,4096,1024
14,38,32,16
1,38,1024,16
10,38,1024,128
38,38,32,128
0,38,4096,16
22,34,1024,1024
