speed_threshold,kv_cache_threshold,input_length,output_length
4,26,4096,128
10,26,32,1024
8,22,4096,1024
3,38,32,16
1,38,1024,16
8,38,1024,128
8,38,32,128
1,26,4096,16
8,26,1024,1024
