speed_threshold,kv_cache_threshold,input_length,output_length
10,14,4096,128
38,38,32,1024
18,10,4096,1024
38,38,32,16
8,38,1024,16
38,38,1024,128
38,38,32,128
2,14,4096,16
38,26,1024,1024
