speed_threshold,kv_cache_threshold,input_length,output_length
4,14,4096,128
38,38,32,1024
8,14,4096,1024
30,38,32,16
2,38,1024,16
14,38,1024,128
38,38,32,128
0,18,4096,16
18,34,1024,1024
