speed_threshold,kv_cache_threshold,input_length,output_length
10,30,4096,128
38,38,32,1024
22,26,4096,1024
38,38,32,16
10,38,1024,16
38,38,1024,128
38,38,32,128
2,30,4096,16
38,38,1024,1024
