speed_threshold,kv_cache_threshold,input_length,output_length
22,34,4096,128
38,38,32,1024
38,26,4096,1024
38,38,32,16
22,38,1024,16
38,38,1024,128
38,38,32,128
4,34,4096,16
38,38,1024,1024
