speed_threshold,kv_cache_threshold,input_length,output_length
8,34,4096,128
38,38,32,1024
26,26,4096,1024
38,38,32,16
6,38,1024,16
34,38,1024,128
38,38,32,128
1,34,4096,16
38,38,1024,1024
