speed_threshold,kv_cache_threshold,input_length,output_length
3,34,4096,128
26,10,32,1024
3,8,4096,1024
34,38,32,16
2,10,1024,16
14,8,1024,128
38,38,32,128
0,6,4096,16
10,4,1024,1024
