speed_threshold,kv_cache_threshold,input_length,output_length
6,8,4096,128
38,34,32,1024
10,6,4096,1024
38,38,32,16
6,34,1024,16
26,30,1024,128
38,38,32,128
1,8,4096,16
34,18,1024,1024
