speed_threshold,kv_cache_threshold,input_length,output_length
1,38,4096,128
14,14,32,1024
3,8,4096,1024
4,38,32,16
0,38,1024,16
3,38,1024,128
14,38,32,128
0,38,4096,16
8,10,1024,1024
