speed_threshold,kv_cache_threshold,input_length,output_length
4,6,4096,128
30,30,32,1024
8,6,4096,1024
26,38,32,16
2,26,1024,16
14,26,1024,128
38,38,32,128
0,6,4096,16
18,14,1024,1024
